,aspect_list
0,cord
1,battery life
2,service center
3,"""sales"" team"
4,tech guy
5,quality
6,GUI
7,applications
8,use
9,start up
10,features
11,iChat
12,Photobooth
13,garage band
14,features
15,GUI
16,screen
17,power light
18,hard drive light
19,battery
20,rubber enclosure
21,edge
22,multi-touch gestures
23,tracking area
24,external mouse
25,gaming
26,suite of software
27,speed
28,Windows 7
29,usb devices
30,keyboard
31,software
32,system
33,Microsoft office for the mac
34,syncing
35,"30"" HD Monitor"
36,screen
37,boot up
38,service
39,battery
40,operating system
41,preloaded software
42,price
43,features
44,clock in BIOS setup
45,WARRANTY SERVICE
46,brand
47,warranty
48,features
49,fan
50,Customer Service number
51,warranty
52,talking to a technician
53,hard disc
54,windows
55,drivers
56,Drivers
57,BIOS update
58,system
59,HP Technical Support
60,browser
61,keyboard
62,virus scan
63,9 punds
64,program
65,warrenty
66,Toshiba Warranty
67,Quality
68,webcam
69,value
70,internet
71,managing personal files
72,motherboard
73,system
74,charger
75,hardware
76,force quit
77,works
78,Windows 7
79,VMWare program
80,operating system
81,runs
82,navigate
83,find files
84,warrenty
85,extended warranty
86,memory
87,speed
88,performace
89,opening my Documents folder
90,operating systems
91,charger
92,speed
93,glass touchpad
94,hard drive
95,mother board
96,external speaker
97,sound
98,battery life
99,hardware
100,shipping
101,Mac software
102,Microsoft software
103,use
104,delete  key
105,editing
106,use
107,service
108,phone assistance
109,genius bar
110,battery life
111,battery life
112,gaming
113,movie playing
114,web browsing
115,word editing
116,recovery discs
117,"Office Max's ""Max Assurance"""
118,iMac backup disc
119,USB
120,battery life
121,battery timer
122,Temperatures
123,Core Processing Unit temperatures
124,service
125,virus protection for Mac
126,bluetooth
127,LG notebook service center
128,hinge
129,games
130,responds
131,motherboard
132,motherboard
133,hardware
134,motherboard
135,use
136,representive at Microsoft
137,system
138,XP
139,WIndows 7
140,Vista
141,Keyboard
142,Dell's customer disservice
143,cooling system
144,use
145,quad core I7
146,sales associate
147,system
148,Windows applications
149,virus program
150,weighed
151,seven pounds
152,battery
153,bag
154,color
155,keys
156,designed
157,style
158,speed
159,keyboard
160,mousepad
161,battery
162,sales
163,service
164,DELL SUPPORT
165,hard drive
166,motherboard
167,speed
168,construction quality
169,longevity
170,cost
171,keyboard
172,keys
173,"configuration of ""extra key"""
174,touch pad
175,use
176,security
177,pricetag
178,use
179,work
180,preloaded software
181,webcam
182,vga port
183,screen
184,battery life
185,keys
186,software
187,volume
188,mouse
189,touchpad
190,boots up
191,hard drive
192,look and feel standpoint
193,safari
194,safari
195,Mozzilla firfox
196,Bluetooth
197,fingerprint reader driver
198,software
199,battery
200,speed
201,display
202,delivery
203,battery life
204,performance
205,memory
206,applications
207,Microsoft office
208,Resolution
209,appearance
210,cooling system
211,graphics card
212,built-in webcam
213,built-in mic
214,cam
215,mic
216,Windows Vista
217,board
218,connector
219,power supply
220,warrenty
221,power supply
222,ethernet
223,works
224,drag and drop feature
