,asin,reviewText,overall
1110540,B005CWJB5G,"I had never own a Mac before I had bought this one. I have only had my computer a few months and I have never had as many issues as I have had with Apple. My OS has crashed repeatedly by ways of the dreaded ""gray screen of death"" when having started it up. I have reinstalled OS Lion several times and since I am again experiencing issues I am planning on installing Windows 8 in hopes to not having to render the laptop completely useless. In the small windows of time that it has worked I have enjoyed the keyboard background light as well as the amazing lightless of the laptop itself but overall I will never buy a Mac again and will suggest to others not to as well.",2.0
1110541,B005CWJB5G,"Too slow for a $1400 Computer. It should come with minimum 8GB Ram.Total mess, I will be returning and purchasing a ASUS instead.  They have higher screen resolution, faster CPU and More RAM for less money. And overall ASUS is a superior brand.",1.0
1110542,B005CWJB5G,"I bought this thinking it is a good machine with good features.To start being an Apple or Mac fan can be really expensive or I should say a rip off. The productivity software, the anti-virus, the accounting software, the HDMI ports, you are looking to replace everything with this purchase as nothing that you owned before works.I agree with the graphics and some hardware superiority this machine might have over others, but I am not a gamer, and I do not focus on pictures and music a lot, so this MacBook Air goes back to Apple store after 24 hours of me having it.",1.0
1110543,B005CWJB5G,"Very please with this product. The SSD really shows its teeth even when comparing it to my Macbook Pro. The speed and portability of this Macbook Air is great, just what one needs if they need to be ultra portable or need something small. I was for a long time anti-Mac but after using them more for work and personal use, they really are great. They keep going, and keep going at the same rate they started at, quick, and efficient.",5.0
1110544,B005CWJB5G,"I will buy it, but i can't tell for the moment. I know it is a very good one, so I will get one.",3.0
1110545,B005CWJB5G,"I admit the air comes in a sexy shape, it is very thin and light but the inside components are substandard in quality. The only moving part (the fan) breaks all the time and it is very noisy.",1.0
1110546,B005CWJB5G,"I like this. I wasn't going to get one but on black friday they had such an incredible deal I decided to get one for work. The battyer life is good when browsing the web or other low processor applications. Going on to intensive applications such as Jalbum, photoshop or imovie and it will deteriorate quickly. I still like this laptop. It is sturdy and super light.",5.0
1110547,B005CWJB5G,"I needed a laptop that I can carry and walk around with every day, use it for development, word processing and presentations. Last year I got a Lenovo U300s, and was very happy with it. Three things stood out: screen was a bit dark and image would fade at an angle, 4GB ram was low and it had an  inferior trackpad; otherwise it was a superb laptop. Unfortunately, that laptop was stolen and so I decided to finally embrace the new age of personal computing with a MB Air. I'm very happy with my choice.Pros:------ The screen is very bright, colors are vivid and can be viewed from any angle. It's probably the best quality display that I've seen on a 13"" laptop.- The SSD is very fast. Ultrabooks with a hybrid SSD are not the same. With SSD, apps open quicker, files copy faster by a factor of 4 or 5. You can go to Tom's hardware to see a detailed analysis of hybrid HDDs vs SSD storage.- Ergonomics are top notch. The lid flips open without the laptop flopping up, the entire body feels rigid, nothing flops around or moves when it's not supposed to.- The backlit keyboard is very comfortable to type on, although I do miss Pg Up/Down, Home/End and Delete buttons as a long time PC user.- Trackpad and Lion's multitouch gestures are in a class of their own. Unfortunately no PC can touch Apple here. At first I was skeptical of the new Lion features, but if you spend a few minutes learning each gesture, it actually makes the experience of working on a MB Air very enjoyable.- Thunderbolt and USB 3 finally live together. You shouldn't have to choose as a customer, and finally both are available for fast I/O to your heart's content.- 8GB ram is a plus. I run Fusion 4 w/ Win 7 without any trouble for any PC-only needs.- I'm finally starting to realize the benefits of a Mac ecosystem. Things like airplay, the local file drop on Lion, wireless syncing with an iPhone...all nice little extras that make life easier.- At 3 lbs, I leave it in my backpack and walk around with it every day, it's like carrying around a small textbook. That's enough for me to compromise on price and some performance when compared to MB Pros and some PC offerings.Cons:------ Screen resolution could be slightly higher, i.e. similar to what Asus or the MB Pro retina offer.- I miss having F-buttons that PCs offer, mainly because I do some work in Excel.- Price is up there, but you I fully expected that buying Apple and I know that I'm getting quality with instant support, no gimmicks, no bloatware.",5.0
1110548,B005CWJB5G,"My daughter loves apple products, this laptop is very fast recommend it, has 5 stars and q is a perfect product ... My oldest daughter is very happy with her ...",5.0
1110549,B005CWJB5G,"I have not had any system problems, except the fan will come on when it runs hot.I do not like the fact that I could not partition the boot drive.The audio volume is not very loud when turned to max. volume.",5.0
1110550,B005CWJB5G,Best investment I have ever made! And I got it at a good price as well!  Couldn't be much happier!,5.0
1110551,B005CWJB5G,"The screen is absolutely terrible.  It is way too glossy.  It's now 2012, why would anyone make a glossy screen especially for a laptop that is thin and light and designed to be carried around and used in all light conditions?  Just doesn't make sense to not put a matte screen on this thing.  Also no HDMI port and only 2 USB ports make this a terrible product.  Apple, get back on track, this doesn't cut it.",1.0
1110552,B005CWJB5G,"I spend 3000 bucks for this stupid mac book pro retina display and it does not function well? Everything lags. I went to genius bar and they say my hands are tied and wait for update to see if that fixes. I should not have bought apple!The problems are:1) The wifi does not work2) The wake up screen freezes too long3) The noise of graphics card is too huge when watching movies4) When I slide between the desktop it freezes atleast sometime before it come backs to normal5) The safari is the worst browser.a) It lags when you scroll in safarib) Lately, when I open safari and slide between the deskstops it takes foreever as if the trackpad is not working.c) It keeps logging me out of facebook.d) It is dirupting the display when you scroll the pages.6) When I try to use mission control it simply lags very ugly.7) The battery performance is worst. It not even close to 7 hrs as in advertisement.8) Its not even quieter when I watch movies or any other applications as told in advertisement.9) I did not have credit card so I did not make apple account so when I formated my computer as directed by the apple customer care I had to buy OS X mountain lion againg.And I spend 3000 bucks for this laptop and when I go to genius bar they expect me to just listen they can't help anymore. Why did I even buy this thing?",1.0
1110553,B005CWJB5G,"The base 2012 13"" aIr arrived this afternoon and it is beautiful. Its fast. Its quiet. The screen is perfect as is the keyboard. Buying from amazon is great. It arrived in a couple iof days via prime and no tax. Plus a year interest free with the amazon card. Great deal!",5.0
1110554,B005CWJB5G,"It's &uuml;ber thin, and a great change from a macbook pro I used previously. For anyone switching from a MBP to MBA, you sacrifice a bit of gigs and rams. If you don't run heavy applications, I suggest getting an Air. They're much better if you're someone who travels a lot, like I, and have to bring their laptop with them.",5.0
1110555,B005CWJB5G,"This is the best laptop you can buy.  The biggest advantage is that it is an Apple product.  Why?  Apple makes the hardware and software, there are no other companies involved.  This gives Apple complete control and integration of the hardware and OS which is a good thing because Apple knows very well what they are doing.  The machine is super fast, smooth and quiet.  Having all flash memory makes it run like an iPhone or iPad, fast, smooth and quiet.  There is no hard drive to hiccup and start ups are blazing fast.  Apple takes great care of their software, hardware and customers so any issues that may arise will be handled by the foremost company in the technology field of today.There are really no cons to this machine.  Others may have slightly better specs, but that does not mean their product is better.  A car may have better specs on paper and yet one with lower specs may be a better drive and overall better performing machine.  You will not miss the CD drive.  If you must have one buy an external, but for daily use you wont miss it,  The style.  Super simple, well built and very modern.Apple has it dialed in, there is a reason they are number one.",5.0
1110556,B005CWJB5G,"Don't make the confusion that bigger is better.  Exactly a year ago I got this model for my wife on our 30th anniversary.  At age 71, I was concerned how she'd cope with a totally different machine.  One year later she's still loving it and better yet it's so light most hardback books weigh more.  Then add a battery that lasts longer than most will ever need - it's a winner!  Thanks to external SSD cards (the type you use in your camera), adding more memory storage is cheap.  This delight is the machine you'll find yourself grabbing first whenever you're wanting TOTAL portability plus the power we all enjoy:)",5.0
1110557,B005CWJB5G,"I absolutely love this machine! It is fast, light, and super sleek looking. I am constantly surprised and impressed by the workload that this machine can handle.",5.0
1110558,B005CWJB5G,"I just bought my 2nd MacBook Air 13"". My first one is just a few months old. I decided to treat myself by getting the newest Air, upgraded to 8gb and faster processor, and gave my other Air to my son.This is truly the cutting edge of computers. It is a least a year (maybe two) ahead of anything else on the market now. As usual, Apple is way ahead of the curve. I predict that more and more people will switch to laptops. No need for a large hard drive when everything is shifting to the cloud. No need for a CD/DVD when people are doing so much streaming. No need for an ethernet port with Wi-Fi's everywhere. No need for a lot of USB (or any) ports on a laptop when there's Wi-Fi, streaming, and cloud computing. I think the trend is towards owning a laptop (like the Air), owning a smart phone, owning an iPad, and keeping them all synced through the cloud. It's also handy to add a Nano.",5.0
